COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Estonia,2018,40,ILI CASES,0TO4,,,,,13.00
Estonia,2018,40,ILI CASES,5TO14,,,,,10.00
Estonia,2018,40,ILI CASES,15TO64,,,,,51.00
Estonia,2018,40,ILI CASES,65TO,,,,,5.00
Estonia,2018,40,ILI CASES,ALL,,,,,79.00
Estonia,2018,40,ILI POPULATION COVERED,0TO4,,,,,6860.00
Estonia,2018,40,ILI POPULATION COVERED,5TO14,,,,,16040.00
Estonia,2018,40,ILI POPULATION COVERED,15TO64,,,,,85735.00
Estonia,2018,40,ILI POPULATION COVERED,65TO,,,,,23459.00
Estonia,2018,40,ILI POPULATION COVERED,ALL,,,,,132094.00
Estonia,2018,40,ARI CASES,ALL,,,,,3355.00
Estonia,2018,40,ARI POPULATION COVERED,ALL,,,,,1317384.00
Estonia,2018,40,TREND,,,,,,Unchanged
Estonia,2018,40,INTENSITY,,,,,,Low/Moderate
Estonia,2018,40,IMPACT,,,,,,Not Available
Estonia,2018,40,GEOSPREAD,,,,,,No Activity
Estonia,2018,41,ILI CASES,0TO4,,,,,23.00
Estonia,2018,41,ILI CASES,5TO14,,,,,18.00
Estonia,2018,41,ILI CASES,15TO64,,,,,63.00
Estonia,2018,41,ILI CASES,65TO,,,,,5.00
Estonia,2018,41,ILI CASES,ALL,,,,,109.00
Estonia,2018,41,ILI POPULATION COVERED,0TO4,,,,,6860.00
Estonia,2018,41,ILI POPULATION COVERED,5TO14,,,,,16040.00
Estonia,2018,41,ILI POPULATION COVERED,15TO64,,,,,85735.00
Estonia,2018,41,ILI POPULATION COVERED,65TO,,,,,23459.00
Estonia,2018,41,ILI POPULATION COVERED,ALL,,,,,132094.00
Estonia,2018,41,ARI CASES,ALL,,,,,2970.00
Estonia,2018,41,ARI POPULATION COVERED,ALL,,,,,1317384.00
Estonia,2018,41,TREND,,,,,,Increasing
Estonia,2018,41,INTENSITY,,,,,,Low/Moderate
Estonia,2018,41,IMPACT,,,,,,Not Available
Estonia,2018,41,GEOSPREAD,,,,,,No Activity
Estonia,2018,42,ILI CASES,0TO4,,,,,20.00
Estonia,2018,42,ILI CASES,5TO14,,,,,12.00
Estonia,2018,42,ILI CASES,15TO64,,,,,41.00
Estonia,2018,42,ILI CASES,65TO,,,,,3.00
Estonia,2018,42,ILI CASES,ALL,,,,,76.00
Estonia,2018,42,ILI POPULATION COVERED,0TO4,,,,,6860.00
Estonia,2018,42,ILI POPULATION COVERED,5TO14,,,,,16040.00
Estonia,2018,42,ILI POPULATION COVERED,15TO64,,,,,85735.00
Estonia,2018,42,ILI POPULATION COVERED,65TO,,,,,23459.00
Estonia,2018,42,ILI POPULATION COVERED,ALL,,,,,132094.00
Estonia,2018,42,ARI CASES,ALL,,,,,3151.00
Estonia,2018,42,ARI POPULATION COVERED,ALL,,,,,1317384.00
Estonia,2018,42,TREND,,,,,,Unchanged
Estonia,2018,42,INTENSITY,,,,,,Low/Moderate
Estonia,2018,42,IMPACT,,,,,,Not Available
Estonia,2018,42,GEOSPREAD,,,,,,No Activity
Estonia,2018,43,ILI CASES,0TO4,,,,,18.00
Estonia,2018,43,ILI CASES,5TO14,,,,,18.00
Estonia,2018,43,ILI CASES,15TO64,,,,,34.00
Estonia,2018,43,ILI CASES,65TO,,,,,5.00
Estonia,2018,43,ILI CASES,ALL,,,,,75.00
Estonia,2018,43,ILI POPULATION COVERED,0TO4,,,,,6860.00
Estonia,2018,43,ILI POPULATION COVERED,5TO14,,,,,16040.00
Estonia,2018,43,ILI POPULATION COVERED,15TO64,,,,,85735.00
Estonia,2018,43,ILI POPULATION COVERED,65TO,,,,,23459.00
Estonia,2018,43,ILI POPULATION COVERED,ALL,,,,,132094.00
Estonia,2018,43,ARI CASES,ALL,,,,,2899.00
Estonia,2018,43,ARI POPULATION COVERED,ALL,,,,,1317384.00
Estonia,2018,43,TREND,,,,,,Unchanged
Estonia,2018,43,INTENSITY,,,,,,Low/Moderate
Estonia,2018,43,IMPACT,,,,,,Not Available
Estonia,2018,43,GEOSPREAD,,,,,,Localized
Estonia,2018,44,ILI CASES,0TO4,,,,,39.00
Estonia,2018,44,ILI CASES,5TO14,,,,,18.00
Estonia,2018,44,ILI CASES,15TO64,,,,,41.00
Estonia,2018,44,ILI CASES,65TO,,,,,4.00
Estonia,2018,44,ILI CASES,ALL,,,,,102.00
Estonia,2018,44,ILI POPULATION COVERED,0TO4,,,,,6860.00
Estonia,2018,44,ILI POPULATION COVERED,5TO14,,,,,16040.00
Estonia,2018,44,ILI POPULATION COVERED,15TO64,,,,,85735.00
Estonia,2018,44,ILI POPULATION COVERED,65TO,,,,,23459.00
Estonia,2018,44,ILI POPULATION COVERED,ALL,,,,,132094.00
Estonia,2018,44,ARI CASES,ALL,,,,,3099.00
Estonia,2018,44,ARI POPULATION COVERED,ALL,,,,,1317384.00
Estonia,2018,44,TREND,,,,,,Unchanged
Estonia,2018,44,INTENSITY,,,,,,Low/Moderate
Estonia,2018,44,IMPACT,,,,,,Not Available
Estonia,2018,44,GEOSPREAD,,,,,,Localized
Estonia,2018,45,ILI CASES,0TO4,,,,,32.00
Estonia,2018,45,ILI CASES,5TO14,,,,,16.00
Estonia,2018,45,ILI CASES,15TO64,,,,,46.00
Estonia,2018,45,ILI CASES,65TO,,,,,4.00
Estonia,2018,45,ILI CASES,ALL,,,,,98.00
Estonia,2018,45,ILI POPULATION COVERED,0TO4,,,,,6860.00
Estonia,2018,45,ILI POPULATION COVERED,5TO14,,,,,16040.00
Estonia,2018,45,ILI POPULATION COVERED,15TO64,,,,,85735.00
Estonia,2018,45,ILI POPULATION COVERED,65TO,,,,,23459.00
Estonia,2018,45,ILI POPULATION COVERED,ALL,,,,,132094.00
Estonia,2018,45,ARI CASES,ALL,,,,,3019.00
Estonia,2018,45,ARI POPULATION COVERED,ALL,,,,,1317384.00
Estonia,2018,45,TREND,,,,,,Unchanged
Estonia,2018,45,INTENSITY,,,,,,Low/Moderate
Estonia,2018,45,IMPACT,,,,,,Not Available
Estonia,2018,45,GEOSPREAD,,,,,,No Activity
Estonia,2018,46,ILI CASES,0TO4,,,,,22.00
Estonia,2018,46,ILI CASES,5TO14,,,,,20.00
Estonia,2018,46,ILI CASES,15TO64,,,,,35.00
Estonia,2018,46,ILI CASES,65TO,,,,,5.00
Estonia,2018,46,ILI CASES,ALL,,,,,82.00
Estonia,2018,46,ILI POPULATION COVERED,0TO4,,,,,6860.00
Estonia,2018,46,ILI POPULATION COVERED,5TO14,,,,,16040.00
Estonia,2018,46,ILI POPULATION COVERED,15TO64,,,,,85735.00
Estonia,2018,46,ILI POPULATION COVERED,65TO,,,,,23459.00
Estonia,2018,46,ILI POPULATION COVERED,ALL,,,,,132094.00
Estonia,2018,46,ARI CASES,ALL,,,,,2842.00
Estonia,2018,46,ARI POPULATION COVERED,ALL,,,,,1317384.00
Estonia,2018,46,TREND,,,,,,Unchanged
Estonia,2018,46,INTENSITY,,,,,,Low/Moderate
Estonia,2018,46,IMPACT,,,,,,Not Available
Estonia,2018,46,GEOSPREAD,,,,,,Localized
Estonia,2018,47,ILI CASES,0TO4,,,,,29.00
Estonia,2018,47,ILI CASES,5TO14,,,,,12.00
Estonia,2018,47,ILI CASES,15TO64,,,,,38.00
Estonia,2018,47,ILI CASES,65TO,,,,,4.00
Estonia,2018,47,ILI CASES,ALL,,,,,83.00
Estonia,2018,47,ILI POPULATION COVERED,0TO4,,,,,6860.00
Estonia,2018,47,ILI POPULATION COVERED,5TO14,,,,,16040.00
Estonia,2018,47,ILI POPULATION COVERED,15TO64,,,,,85735.00
Estonia,2018,47,ILI POPULATION COVERED,65TO,,,,,23459.00
Estonia,2018,47,ILI POPULATION COVERED,ALL,,,,,132094.00
Estonia,2018,47,ARI CASES,ALL,,,,,3081.00
Estonia,2018,47,ARI POPULATION COVERED,ALL,,,,,1317384.00
Estonia,2018,47,TREND,,,,,,Unchanged
Estonia,2018,47,INTENSITY,,,,,,Low/Moderate
Estonia,2018,47,IMPACT,,,,,,Not Available
Estonia,2018,47,GEOSPREAD,,,,,,Localized
Estonia,2018,48,ILI CASES,0TO4,,,,,29.00
Estonia,2018,48,ILI CASES,5TO14,,,,,24.00
Estonia,2018,48,ILI CASES,15TO64,,,,,41.00
Estonia,2018,48,ILI CASES,65TO,,,,,11.00
Estonia,2018,48,ILI CASES,ALL,,,,,105.00
Estonia,2018,48,ILI POPULATION COVERED,0TO4,,,,,6860.00
Estonia,2018,48,ILI POPULATION COVERED,5TO14,,,,,16040.00
Estonia,2018,48,ILI POPULATION COVERED,15TO64,,,,,85735.00
