COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Turkey,2018,40,ILI CASES,0TO4,,,,,362.00
Turkey,2018,40,ILI CASES,5TO14,,,,,472.00
Turkey,2018,40,ILI CASES,15TO64,,,,,1033.00
Turkey,2018,40,ILI CASES,65TO,,,,,150.00
Turkey,2018,40,ILI CASES,ALL,,,,,2017.00
Turkey,2018,40,ILI POPULATION COVERED,0TO4,,,,,58917.00
Turkey,2018,40,ILI POPULATION COVERED,5TO14,,,,,116264.00
Turkey,2018,40,ILI POPULATION COVERED,15TO64,,,,,553823.00
Turkey,2018,40,ILI POPULATION COVERED,65TO,,,,,56561.00
Turkey,2018,40,ILI POPULATION COVERED,ALL,,,,,785565.00
Turkey,2018,40,TREND,,,,,,Increasing
Turkey,2018,40,INTENSITY,,,,,,Low/Moderate
Turkey,2018,40,IMPACT,,,,,,Low
Turkey,2018,40,GEOSPREAD,,,,,,Localized
Turkey,2018,41,ILI CASES,0TO4,,,,,410.00
Turkey,2018,41,ILI CASES,5TO14,,,,,523.00
Turkey,2018,41,ILI CASES,15TO64,,,,,1332.00
Turkey,2018,41,ILI CASES,65TO,,,,,206.00
Turkey,2018,41,ILI CASES,ALL,,,,,2471.00
Turkey,2018,41,ILI POPULATION COVERED,0TO4,,,,,60056.00
Turkey,2018,41,ILI POPULATION COVERED,5TO14,,,,,118510.00
Turkey,2018,41,ILI POPULATION COVERED,15TO64,,,,,564525.00
Turkey,2018,41,ILI POPULATION COVERED,65TO,,,,,57654.00
Turkey,2018,41,ILI POPULATION COVERED,ALL,,,,,800745.00
Turkey,2018,41,TREND,,,,,,Decreasing
Turkey,2018,41,INTENSITY,,,,,,Low/Moderate
Turkey,2018,41,IMPACT,,,,,,Low
Turkey,2018,41,GEOSPREAD,,,,,,No Activity
Turkey,2018,42,ILI CASES,0TO4,,,,,443.00
Turkey,2018,42,ILI CASES,5TO14,,,,,480.00
Turkey,2018,42,ILI CASES,15TO64,,,,,1348.00
Turkey,2018,42,ILI CASES,65TO,,,,,243.00
Turkey,2018,42,ILI CASES,ALL,,,,,2514.00
Turkey,2018,42,ILI POPULATION COVERED,0TO4,,,,,60056.00
Turkey,2018,42,ILI POPULATION COVERED,5TO14,,,,,118510.00
Turkey,2018,42,ILI POPULATION COVERED,15TO64,,,,,564525.00
Turkey,2018,42,ILI POPULATION COVERED,65TO,,,,,57654.00
Turkey,2018,42,ILI POPULATION COVERED,ALL,,,,,800745.00
Turkey,2018,42,TREND,,,,,,Decreasing
Turkey,2018,42,INTENSITY,,,,,,Low/Moderate
Turkey,2018,42,IMPACT,,,,,,Low
Turkey,2018,42,GEOSPREAD,,,,,,No Activity
Turkey,2018,43,ILI CASES,0TO4,,,,,352.00
Turkey,2018,43,ILI CASES,5TO14,,,,,407.00
Turkey,2018,43,ILI CASES,15TO64,,,,,1034.00
Turkey,2018,43,ILI CASES,65TO,,,,,156.00
Turkey,2018,43,ILI CASES,ALL,,,,,1949.00
Turkey,2018,43,ILI POPULATION COVERED,0TO4,,,,,58348.00
Turkey,2018,43,ILI POPULATION COVERED,5TO14,,,,,115140.00
Turkey,2018,43,ILI POPULATION COVERED,15TO64,,,,,548472.00
Turkey,2018,43,ILI POPULATION COVERED,65TO,,,,,56014.00
Turkey,2018,43,ILI POPULATION COVERED,ALL,,,,,777975.00
Turkey,2018,43,TREND,,,,,,Unchanged
Turkey,2018,43,INTENSITY,,,,,,Low/Moderate
Turkey,2018,43,IMPACT,,,,,,Low
Turkey,2018,43,GEOSPREAD,,,,,,No Activity
Turkey,2018,44,ILI CASES,0TO4,,,,,361.00
Turkey,2018,44,ILI CASES,5TO14,,,,,389.00
Turkey,2018,44,ILI CASES,15TO64,,,,,1101.00
Turkey,2018,44,ILI CASES,65TO,,,,,192.00
Turkey,2018,44,ILI CASES,ALL,,,,,2043.00
Turkey,2018,44,ILI POPULATION COVERED,0TO4,,,,,57494.00
Turkey,2018,44,ILI POPULATION COVERED,5TO14,,,,,113455.00
Turkey,2018,44,ILI POPULATION COVERED,15TO64,,,,,540446.00
Turkey,2018,44,ILI POPULATION COVERED,65TO,,,,,55194.00
Turkey,2018,44,ILI POPULATION COVERED,ALL,,,,,766590.00
Turkey,2018,44,TREND,,,,,,Unchanged
Turkey,2018,44,INTENSITY,,,,,,Low/Moderate
Turkey,2018,44,IMPACT,,,,,,Low
Turkey,2018,44,GEOSPREAD,,,,,,No Activity
Turkey,2018,45,ILI CASES,0TO4,,,,,516.00
Turkey,2018,45,ILI CASES,5TO14,,,,,656.00
Turkey,2018,45,ILI CASES,15TO64,,,,,1842.00
Turkey,2018,45,ILI CASES,65TO,,,,,336.00
Turkey,2018,45,ILI CASES,ALL,,,,,3350.00
Turkey,2018,45,ILI POPULATION COVERED,0TO4,,,,,59487.00
Turkey,2018,45,ILI POPULATION COVERED,5TO14,,,,,117387.00
