COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Finland,2018,40,ILI CASES,0TO4,,,,,0.00
Finland,2018,40,ILI CASES,5TO14,,,,,0.00
Finland,2018,40,ILI CASES,15TO64,,,,,7.00
Finland,2018,40,ILI CASES,65TO,,,,,3.00
Finland,2018,40,ILI CASES,ALL,,,,,10.00
Finland,2018,40,ILI POPULATION COVERED,0TO4,,,,,29801.00
Finland,2018,40,ILI POPULATION COVERED,5TO14,,,,,102293.00
Finland,2018,40,ILI POPULATION COVERED,15TO64,,,,,410136.00
Finland,2018,40,ILI POPULATION COVERED,65TO,,,,,992274.00
Finland,2018,40,ILI POPULATION COVERED,ALL,,,,,1534504.00
Finland,2018,40,ARI CASES,0TO4,,,,,1410.00
Finland,2018,40,ARI CASES,5TO14,,,,,10837.00
Finland,2018,40,ARI CASES,15TO64,,,,,2446.00
Finland,2018,40,ARI CASES,65TO,,,,,4735.00
Finland,2018,40,ARI CASES,ALL,,,,,19428.00
Finland,2018,40,ARI POPULATION COVERED,0TO4,,,,,29801.00
Finland,2018,40,ARI POPULATION COVERED,5TO14,,,,,102293.00
Finland,2018,40,ARI POPULATION COVERED,15TO64,,,,,410136.00
Finland,2018,40,ARI POPULATION COVERED,65TO,,,,,992274.00
Finland,2018,40,ARI POPULATION COVERED,ALL,,,,,1534504.00
Finland,2018,40,TREND,,,,,,Unchanged
Finland,2018,40,INTENSITY,,,,,,Low/Moderate
Finland,2018,40,GEOSPREAD,,,,,,No Activity
Finland,2018,41,ILI CASES,0TO4,,,,,0.00
Finland,2018,41,ILI CASES,5TO14,,,,,3.00
Finland,2018,41,ILI CASES,15TO64,,,,,7.00
Finland,2018,41,ILI CASES,65TO,,,,,5.00
Finland,2018,41,ILI CASES,ALL,,,,,15.00
Finland,2018,41,ILI POPULATION COVERED,0TO4,,,,,28832.00
Finland,2018,41,ILI POPULATION COVERED,5TO14,,,,,96228.00
Finland,2018,41,ILI POPULATION COVERED,15TO64,,,,,390348.00
Finland,2018,41,ILI POPULATION COVERED,65TO,,,,,932155.00
Finland,2018,41,ILI POPULATION COVERED,ALL,,,,,1447563.00
Finland,2018,41,ARI CASES,0TO4,,,,,1283.00
Finland,2018,41,ARI CASES,5TO14,,,,,9637.00
Finland,2018,41,ARI CASES,15TO64,,,,,2650.00
Finland,2018,41,ARI CASES,65TO,,,,,4722.00
Finland,2018,41,ARI CASES,ALL,,,,,18292.00
Finland,2018,41,ARI POPULATION COVERED,0TO4,,,,,28832.00
Finland,2018,41,ARI POPULATION COVERED,5TO14,,,,,96228.00
