COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Romania,2018,40,ILI CASES,0TO4,,,,,0.00
Romania,2018,40,ILI CASES,5TO14,,,,,1.00
Romania,2018,40,ILI CASES,15TO64,,,,,2.00
Romania,2018,40,ILI CASES,65TO,,,,,0.00
Romania,2018,40,ILI CASES,UNKNOWN,,,,,0.00
Romania,2018,40,ILI CASES,ALL,,,,,3.00
Romania,2018,40,ILI POPULATION COVERED,0TO4,,,,,24147.00
Romania,2018,40,ILI POPULATION COVERED,5TO14,,,,,54182.00
Romania,2018,40,ILI POPULATION COVERED,15TO64,,,,,284182.00
Romania,2018,40,ILI POPULATION COVERED,65TO,,,,,67320.00
Romania,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Romania,2018,40,ILI POPULATION COVERED,ALL,,,,,429831.00
Romania,2018,40,ARI CASES,0TO4,,,,,1116.00
Romania,2018,40,ARI CASES,5TO14,,,,,959.00
Romania,2018,40,ARI CASES,15TO64,,,,,981.00
Romania,2018,40,ARI CASES,65TO,,,,,149.00
Romania,2018,40,ARI CASES,UNKNOWN,,,,,0.00
Romania,2018,40,ARI CASES,ALL,,,,,3205.00
Romania,2018,40,ARI POPULATION COVERED,0TO4,,,,,24147.00
Romania,2018,40,ARI POPULATION COVERED,5TO14,,,,,54182.00
Romania,2018,40,ARI POPULATION COVERED,15TO64,,,,,284182.00
Romania,2018,40,ARI POPULATION COVERED,65TO,,,,,67320.00
Romania,2018,40,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
Romania,2018,40,ARI POPULATION COVERED,ALL,,,,,429831.00
Romania,2018,40,TREND,,,,,,Unchanged
Romania,2018,40,INTENSITY,,,,,,Low/Moderate
Romania,2018,40,IMPACT,,,,,,Low
Romania,2018,40,GEOSPREAD,,,,,,No Activity
Romania,2018,41,ILI CASES,0TO4,,,,,0.00
Romania,2018,41,ILI CASES,5TO14,,,,,2.00
Romania,2018,41,ILI CASES,15TO64,,,,,1.00
Romania,2018,41,ILI CASES,65TO,,,,,2.00
Romania,2018,41,ILI CASES,UNKNOWN,,,,,0.00
Romania,2018,41,ILI CASES,ALL,,,,,5.00
Romania,2018,41,ILI POPULATION COVERED,0TO4,,,,,23938.00
Romania,2018,41,ILI POPULATION COVERED,5TO14,,,,,53407.00
Romania,2018,41,ILI POPULATION COVERED,15TO64,,,,,282488.00
Romania,2018,41,ILI POPULATION COVERED,65TO,,,,,66151.00
Romania,2018,41,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Romania,2018,41,ILI POPULATION COVERED,ALL,,,,,425984.00
Romania,2018,41,ARI CASES,0TO4,,,,,1082.00
Romania,2018,41,ARI CASES,5TO14,,,,,874.00
Romania,2018,41,ARI CASES,15TO64,,,,,899.00
Romania,2018,41,ARI CASES,65TO,,,,,142.00
Romania,2018,41,ARI CASES,UNKNOWN,,,,,0.00
Romania,2018,41,ARI CASES,ALL,,,,,2997.00
Romania,2018,41,ARI POPULATION COVERED,0TO4,,,,,23938.00
Romania,2018,41,ARI POPULATION COVERED,5TO14,,,,,53407.00
Romania,2018,41,ARI POPULATION COVERED,15TO64,,,,,282488.00
Romania,2018,41,ARI POPULATION COVERED,65TO,,,,,66151.00
Romania,2018,41,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
Romania,2018,41,ARI POPULATION COVERED,ALL,,,,,425984.00
Romania,2018,41,TREND,,,,,,Unchanged
Romania,2018,41,INTENSITY,,,,,,Low/Moderate
Romania,2018,41,IMPACT,,,,,,Low
Romania,2018,41,GEOSPREAD,,,,,,No Activity
Romania,2018,42,ILI CASES,0TO4,,,,,0.00
Romania,2018,42,ILI CASES,5TO14,,,,,1.00
Romania,2018,42,ILI CASES,15TO64,,,,,1.00
Romania,2018,42,ILI CASES,65TO,,,,,1.00
Romania,2018,42,ILI CASES,UNKNOWN,,,,,0.00
Romania,2018,42,ILI CASES,ALL,,,,,3.00
Romania,2018,42,ILI POPULATION COVERED,0TO4,,,,,25262.00
Romania,2018,42,ILI POPULATION COVERED,5TO14,,,,,54533.00
Romania,2018,42,ILI POPULATION COVERED,15TO64,,,,,281384.00
Romania,2018,42,ILI POPULATION COVERED,65TO,,,,,66253.00
Romania,2018,42,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Romania,2018,42,ILI POPULATION COVERED,ALL,,,,,427432.00
Romania,2018,42,ARI CASES,0TO4,,,,,1060.00
Romania,2018,42,ARI CASES,5TO14,,,,,787.00
Romania,2018,42,ARI CASES,15TO64,,,,,917.00
Romania,2018,42,ARI CASES,65TO,,,,,188.00
Romania,2018,42,ARI CASES,UNKNOWN,,,,,0.00
Romania,2018,42,ARI CASES,ALL,,,,,2952.00
