COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Slovenia,2018,40,ILI CASES,0TO4,,,,,0.00
Slovenia,2018,40,ILI CASES,5TO14,,,,,1.00
Slovenia,2018,40,ILI CASES,15TO64,,,,,0.00
Slovenia,2018,40,ILI CASES,65TO,,,,,0.00
Slovenia,2018,40,ILI CASES,UNKNOWN,,,,,0.00
Slovenia,2018,40,ILI CASES,ALL,,,,,1.00
Slovenia,2018,40,ILI POPULATION COVERED,0TO4,,,,,5594.00
Slovenia,2018,40,ILI POPULATION COVERED,5TO14,,,,,22179.00
Slovenia,2018,40,ILI POPULATION COVERED,15TO64,,,,,42424.00
Slovenia,2018,40,ILI POPULATION COVERED,65TO,,,,,8605.00
Slovenia,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Slovenia,2018,40,ILI POPULATION COVERED,ALL,,,,,78802.00
Slovenia,2018,40,ARI CASES,0TO4,,,,,287.00
Slovenia,2018,40,ARI CASES,5TO14,,,,,205.00
Slovenia,2018,40,ARI CASES,15TO64,,,,,264.00
Slovenia,2018,40,ARI CASES,65TO,,,,,28.00
Slovenia,2018,40,ARI CASES,UNKNOWN,,,,,0.00
Slovenia,2018,40,ARI CASES,ALL,,,,,784.00
Slovenia,2018,40,ARI POPULATION COVERED,0TO4,,,,,5594.00
Slovenia,2018,40,ARI POPULATION COVERED,5TO14,,,,,22179.00
Slovenia,2018,40,ARI POPULATION COVERED,15TO64,,,,,42424.00
Slovenia,2018,40,ARI POPULATION COVERED,65TO,,,,,8605.00
Slovenia,2018,40,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
Slovenia,2018,40,ARI POPULATION COVERED,ALL,,,,,78802.00
Slovenia,2018,40,TREND,,,,,,Unchanged
Slovenia,2018,40,INTENSITY,,,,,,Low/Moderate
Slovenia,2018,40,IMPACT,,,,,,Not Available
Slovenia,2018,40,GEOSPREAD,,,,,,No Activity
Slovenia,2018,41,ILI CASES,0TO4,,,,,0.00
Slovenia,2018,41,ILI CASES,5TO14,,,,,0.00
Slovenia,2018,41,ILI CASES,15TO64,,,,,0.00
Slovenia,2018,41,ILI CASES,65TO,,,,,0.00
Slovenia,2018,41,ILI CASES,UNKNOWN,,,,,0.00
Slovenia,2018,41,ILI CASES,ALL,,,,,0.00
Slovenia,2018,41,ILI POPULATION COVERED,0TO4,,,,,5334.00
Slovenia,2018,41,ILI POPULATION COVERED,5TO14,,,,,20477.00
Slovenia,2018,41,ILI POPULATION COVERED,15TO64,,,,,38029.00
Slovenia,2018,41,ILI POPULATION COVERED,65TO,,,,,7879.00
Slovenia,2018,41,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Slovenia,2018,41,ILI POPULATION COVERED,ALL,,,,,71719.00
Slovenia,2018,41,ARI CASES,0TO4,,,,,264.00
Slovenia,2018,41,ARI CASES,5TO14,,,,,182.00
Slovenia,2018,41,ARI CASES,15TO64,,,,,283.00
Slovenia,2018,41,ARI CASES,65TO,,,,,20.00
Slovenia,2018,41,ARI CASES,UNKNOWN,,,,,0.00
Slovenia,2018,41,ARI CASES,ALL,,,,,749.00
Slovenia,2018,41,ARI POPULATION COVERED,0TO4,,,,,5334.00
Slovenia,2018,41,ARI POPULATION COVERED,5TO14,,,,,20477.00
Slovenia,2018,41,ARI POPULATION COVERED,15TO64,,,,,38029.00
Slovenia,2018,41,ARI POPULATION COVERED,65TO,,,,,7879.00
Slovenia,2018,41,ARI POPULATION COVERED,UNKNOWN,,,,,0.00
Slovenia,2018,41,ARI POPULATION COVERED,ALL,,,,,71719.00
Slovenia,2018,41,TREND,,,,,,Unchanged
Slovenia,2018,41,INTENSITY,,,,,,Low/Moderate
Slovenia,2018,41,IMPACT,,,,,,Not Available
Slovenia,2018,41,GEOSPREAD,,,,,,No Activity
Slovenia,2018,42,ILI CASES,0TO4,,,,,0.00
Slovenia,2018,42,ILI CASES,5TO14,,,,,0.00
Slovenia,2018,42,ILI CASES,15TO64,,,,,0.00
Slovenia,2018,42,ILI CASES,65TO,,,,,0.00
Slovenia,2018,42,ILI CASES,UNKNOWN,,,,,0.00
Slovenia,2018,42,ILI CASES,ALL,,,,,0.00
Slovenia,2018,42,ILI POPULATION COVERED,0TO4,,,,,5926.00
Slovenia,2018,42,ILI POPULATION COVERED,5TO14,,,,,21880.00
Slovenia,2018,42,ILI POPULATION COVERED,15TO64,,,,,38308.00
Slovenia,2018,42,ILI POPULATION COVERED,65TO,,,,,7815.00
Slovenia,2018,42,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Slovenia,2018,42,ILI POPULATION COVERED,ALL,,,,,73929.00
Slovenia,2018,42,ARI CASES,0TO4,,,,,266.00
Slovenia,2018,42,ARI CASES,5TO14,,,,,190.00
Slovenia,2018,42,ARI CASES,15TO64,,,,,257.00
