COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Italy,2018,42,ILI CASES,0TO4,,,,,100.00
Italy,2018,42,ILI CASES,5TO14,,,,,117.00
Italy,2018,42,ILI CASES,15TO64,,,,,683.00
Italy,2018,42,ILI CASES,65TO,,,,,178.00
Italy,2018,42,ILI CASES,UNKNOWN,,,,,0.00
Italy,2018,42,ILI CASES,ALL,,,,,1078.00
Italy,2018,42,ILI POPULATION COVERED,0TO4,,,,,78923.00
Italy,2018,42,ILI POPULATION COVERED,5TO14,,,,,183901.00
Italy,2018,42,ILI POPULATION COVERED,15TO64,,,,,800741.00
Italy,2018,42,ILI POPULATION COVERED,65TO,,,,,308662.00
Italy,2018,42,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Italy,2018,42,ILI POPULATION COVERED,ALL,,,,,1372227.00
Italy,2018,42,TREND,,,,,,Unchanged
Italy,2018,42,INTENSITY,,,,,,baseline
Italy,2018,42,IMPACT,,,,,,Low
Italy,2018,42,GEOSPREAD,,,,,,No Activity
Italy,2018,43,ILI CASES,0TO4,,,,,155.00
Italy,2018,43,ILI CASES,5TO14,,,,,148.00
Italy,2018,43,ILI CASES,15TO64,,,,,849.00
Italy,2018,43,ILI CASES,65TO,,,,,160.00
Italy,2018,43,ILI CASES,UNKNOWN,,,,,0.00
Italy,2018,43,ILI CASES,ALL,,,,,1312.00
Italy,2018,43,ILI POPULATION COVERED,0TO4,,,,,78310.00
Italy,2018,43,ILI POPULATION COVERED,5TO14,,,,,184470.00
Italy,2018,43,ILI POPULATION COVERED,15TO64,,,,,807994.00
Italy,2018,43,ILI POPULATION COVERED,65TO,,,,,311627.00
Italy,2018,43,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Italy,2018,43,ILI POPULATION COVERED,ALL,,,,,1382401.00
Italy,2018,43,TREND,,,,,,Unchanged
Italy,2018,43,INTENSITY,,,,,,baseline
Italy,2018,43,IMPACT,,,,,,Low
Italy,2018,43,GEOSPREAD,,,,,,No Activity
Italy,2018,44,ILI CASES,0TO4,,,,,134.00
Italy,2018,44,ILI CASES,5TO14,,,,,162.00
Italy,2018,44,ILI CASES,15TO64,,,,,904.00
Italy,2018,44,ILI CASES,65TO,,,,,214.00
Italy,2018,44,ILI CASES,UNKNOWN,,,,,0.00
Italy,2018,44,ILI CASES,ALL,,,,,1414.00
Italy,2018,44,ILI POPULATION COVERED,0TO4,,,,,79142.00
Italy,2018,44,ILI POPULATION COVERED,5TO14,,,,,188080.00
Italy,2018,44,ILI POPULATION COVERED,15TO64,,,,,815517.00
Italy,2018,44,ILI POPULATION COVERED,65TO,,,,,315130.00
Italy,2018,44,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Italy,2018,44,ILI POPULATION COVERED,ALL,,,,,1397869.00
Italy,2018,44,TREND,,,,,,Unchanged
Italy,2018,44,INTENSITY,,,,,,baseline
Italy,2018,44,IMPACT,,,,,,Low
Italy,2018,44,GEOSPREAD,,,,,,No Activity
Italy,2018,45,ILI CASES,0TO4,,,,,235.00
Italy,2018,45,ILI CASES,5TO14,,,,,248.00
Italy,2018,45,ILI CASES,15TO64,,,,,1261.00
Italy,2018,45,ILI CASES,65TO,,,,,323.00
Italy,2018,45,ILI CASES,UNKNOWN,,,,,0.00
Italy,2018,45,ILI CASES,ALL,,,,,2067.00
Italy,2018,45,ILI POPULATION COVERED,0TO4,,,,,79305.00
Italy,2018,45,ILI POPULATION COVERED,5TO14,,,,,189097.00
Italy,2018,45,ILI POPULATION COVERED,15TO64,,,,,816124.00
Italy,2018,45,ILI POPULATION COVERED,65TO,,,,,315393.00
Italy,2018,45,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Italy,2018,45,ILI POPULATION COVERED,ALL,,,,,1399919.00
Italy,2018,45,TREND,,,,,,Unchanged
Italy,2018,45,INTENSITY,,,,,,baseline
Italy,2018,45,IMPACT,,,,,,Low
Italy,2018,45,GEOSPREAD,,,,,,No Activity
Italy,2018,46,ILI CASES,0TO4,,,,,319.00
Italy,2018,46,ILI CASES,5TO14,,,,,343.00
Italy,2018,46,ILI CASES,15TO64,,,,,1490.00
Italy,2018,46,ILI CASES,65TO,,,,,346.00
Italy,2018,46,ILI CASES,UNKNOWN,,,,,0.00
Italy,2018,46,ILI CASES,ALL,,,,,2498.00
Italy,2018,46,ILI POPULATION COVERED,0TO4,,,,,80487.00
Italy,2018,46,ILI POPULATION COVERED,5TO14,,,,,191512.00
Italy,2018,46,ILI POPULATION COVERED,15TO64,,,,,824785.00
Italy,2018,46,ILI POPULATION COVERED,65TO,,,,,319048.00
Italy,2018,46,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Italy,2018,46,ILI POPULATION COVERED,ALL,,,,,1415832.00
Italy,2018,46,TREND,,,,,,Unchanged
Italy,2018,46,INTENSITY,,,,,,baseline
Italy,2018,46,IMPACT,,,,,,Low
Italy,2018,46,GEOSPREAD,,,,,,No Activity
Italy,2018,47,ILI CASES,0TO4,,,,,348.00
Italy,2018,47,ILI CASES,5TO14,,,,,399.00
Italy,2018,47,ILI CASES,15TO64,,,,,1888.00
Italy,2018,47,ILI CASES,65TO,,,,,377.00
Italy,2018,47,ILI CASES,UNKNOWN,,,,,0.00
Italy,2018,47,ILI CASES,ALL,,,,,3012.00
Italy,2018,47,ILI POPULATION COVERED,0TO4,,,,,80274.00
Italy,2018,47,ILI POPULATION COVERED,5TO14,,,,,191721.00
Italy,2018,47,ILI POPULATION COVERED,15TO64,,,,,822823.00
Italy,2018,47,ILI POPULATION COVERED,65TO,,,,,318276.00
Italy,2018,47,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Italy,2018,47,ILI POPULATION COVERED,ALL,,,,,1413094.00
Italy,2018,47,TREND,,,,,,Unchanged
Italy,2018,47,INTENSITY,,,,,,baseline
Italy,2018,47,IMPACT,,,,,,Low
Italy,2018,47,GEOSPREAD,,,,,,Localized
Italy,2018,48,ILI CASES,0TO4,,,,,458.00
Italy,2018,48,ILI CASES,5TO14,,,,,506.00
Italy,2018,48,ILI CASES,15TO64,,,,,1982.00
Italy,2018,48,ILI CASES,65TO,,,,,391.00
Italy,2018,48,ILI CASES,UNKNOWN,,,,,0.00
Italy,2018,48,ILI CASES,ALL,,,,,3337.00
Italy,2018,48,ILI POPULATION COVERED,0TO4,,,,,79412.00
Italy,2018,48,ILI POPULATION COVERED,5TO14,,,,,189572.00
Italy,2018,48,ILI POPULATION COVERED,15TO64,,,,,823814.00
Italy,2018,48,ILI POPULATION COVERED,65TO,,,,,318526.00
Italy,2018,48,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Italy,2018,48,ILI POPULATION COVERED,ALL,,,,,1411324.00
Italy,2018,48,TREND,,,,,,Unchanged
Italy,2018,48,INTENSITY,,,,,,baseline
Italy,2018,48,IMPACT,,,,,,Low
Italy,2018,48,GEOSPREAD,,,,,,Localized
Italy,2018,49,ILI CASES,0TO4,,,,,525.00
Italy,2018,49,ILI CASES,5TO14,,,,,608.00
Italy,2018,49,ILI CASES,15TO64,,,,,2260.00
Italy,2018,49,ILI CASES,65TO,,,,,475.00
Italy,2018,49,ILI CASES,UNKNOWN,,,,,0.00
Italy,2018,49,ILI CASES,ALL,,,,,3868.00
Italy,2018,49,ILI POPULATION COVERED,0TO4,,,,,78204.00
Italy,2018,49,ILI POPULATION COVERED,5TO14,,,,,187648.00
Italy,2018,49,ILI POPULATION COVERED,15TO64,,,,,820093.00
Italy,2018,49,ILI POPULATION COVERED,65TO,,,,,317097.00
Italy,2018,49,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Italy,2018,49,ILI POPULATION COVERED,ALL,,,,,1403042.00
Italy,2018,49,TREND,,,,,,Unchanged
Italy,2018,49,INTENSITY,,,,,,Low/Moderate
Italy,2018,49,IMPACT,,,,,,Low
Italy,2018,49,GEOSPREAD,,,,,,Localized
Italy,2018,50,ILI CASES,0TO4,,,,,682.00
