COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Germany,2018,40,ARI CASES,0TO4,,,,,2512.00
Germany,2018,40,ARI CASES,5TO14,,,,,4594.00
Germany,2018,40,ARI CASES,15TO64,,,,,1210.00
Germany,2018,40,ARI CASES,65TO,,,,,811.00
Germany,2018,40,ARI CASES,UNKNOWN,,,,,0.00
Germany,2018,40,ARI CASES,ALL,,,,,9127.00
Germany,2018,40,ARI POPULATION COVERED,0TO4,,,,,70720.00
Germany,2018,40,ARI POPULATION COVERED,5TO14,,,,,118627.00
Germany,2018,40,ARI POPULATION COVERED,15TO64,,,,,473060.00
Germany,2018,40,ARI POPULATION COVERED,65TO,,,,,215691.00
Germany,2018,40,ARI POPULATION COVERED,UNKNOWN,,,,,105414.00
Germany,2018,40,ARI POPULATION COVERED,ALL,,,,,983512.00
Germany,2018,40,TREND,,,,,,Unchanged
Germany,2018,40,INTENSITY,,,,,,baseline
Germany,2018,40,IMPACT,,,,,,Not Available
Germany,2018,40,GEOSPREAD,,,,,,No Activity
Germany,2018,41,ARI CASES,0TO4,,,,,2874.00
Germany,2018,41,ARI CASES,5TO14,,,,,5329.00
Germany,2018,41,ARI CASES,15TO64,,,,,1407.00
Germany,2018,41,ARI CASES,65TO,,,,,943.00
Germany,2018,41,ARI CASES,UNKNOWN,,,,,0.00
Germany,2018,41,ARI CASES,ALL,,,,,10553.00
Germany,2018,41,ARI POPULATION COVERED,0TO4,,,,,76071.00
Germany,2018,41,ARI POPULATION COVERED,5TO14,,,,,125401.00
Germany,2018,41,ARI POPULATION COVERED,15TO64,,,,,473631.00
Germany,2018,41,ARI POPULATION COVERED,65TO,,,,,223990.00
Germany,2018,41,ARI POPULATION COVERED,UNKNOWN,,,,,105188.00
Germany,2018,41,ARI POPULATION COVERED,ALL,,,,,1004281.00
Germany,2018,41,TREND,,,,,,Unchanged
Germany,2018,41,INTENSITY,,,,,,baseline
Germany,2018,41,IMPACT,,,,,,Not Available
Germany,2018,41,GEOSPREAD,,,,,,No Activity
Germany,2018,42,ARI CASES,0TO4,,,,,2919.00
Germany,2018,42,ARI CASES,5TO14,,,,,4876.00
Germany,2018,42,ARI CASES,15TO64,,,,,1419.00
Germany,2018,42,ARI CASES,65TO,,,,,908.00
Germany,2018,42,ARI CASES,UNKNOWN,,,,,0.00
Germany,2018,42,ARI CASES,ALL,,,,,10122.00
Germany,2018,42,ARI POPULATION COVERED,0TO4,,,,,77591.00
Germany,2018,42,ARI POPULATION COVERED,5TO14,,,,,138574.00
Germany,2018,42,ARI POPULATION COVERED,15TO64,,,,,481013.00
Germany,2018,42,ARI POPULATION COVERED,65TO,,,,,225310.00
Germany,2018,42,ARI POPULATION COVERED,UNKNOWN,,,,,121017.00
Germany,2018,42,ARI POPULATION COVERED,ALL,,,,,1043505.00
Germany,2018,42,TREND,,,,,,Unchanged
Germany,2018,42,INTENSITY,,,,,,baseline
Germany,2018,42,IMPACT,,,,,,Not Available
Germany,2018,42,GEOSPREAD,,,,,,No Activity
Germany,2018,43,ARI CASES,0TO4,,,,,3159.00
Germany,2018,43,ARI CASES,5TO14,,,,,4762.00
Germany,2018,43,ARI CASES,15TO64,,,,,1720.00
Germany,2018,43,ARI CASES,65TO,,,,,795.00
Germany,2018,43,ARI CASES,UNKNOWN,,,,,0.00
Germany,2018,43,ARI CASES,ALL,,,,,10436.00
