COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Portugal,2018,40,ILI CASES,0TO4,,,,,0.00
Portugal,2018,40,ILI CASES,5TO14,,,,,0.00
Portugal,2018,40,ILI CASES,15TO64,,,,,1.00
Portugal,2018,40,ILI CASES,65TO,,,,,0.00
Portugal,2018,40,ILI CASES,UNKNOWN,,,,,0.00
Portugal,2018,40,ILI CASES,ALL,,,,,1.00
Portugal,2018,40,ILI POPULATION COVERED,0TO4,,,,,1180.00
Portugal,2018,40,ILI POPULATION COVERED,5TO14,,,,,2448.00
Portugal,2018,40,ILI POPULATION COVERED,15TO64,,,,,15305.00
Portugal,2018,40,ILI POPULATION COVERED,65TO,,,,,5132.00
Portugal,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Portugal,2018,40,ILI POPULATION COVERED,ALL,,,,,24065.00
Portugal,2018,40,ARI POPULATION COVERED,UNKNOWN,,,,,
Portugal,2018,40,TREND,,,,,,Unchanged
Portugal,2018,40,INTENSITY,,,,,,Low/Moderate
Portugal,2018,40,IMPACT,,,,,,Not Available
Portugal,2018,40,GEOSPREAD,,,,,,No Activity
Portugal,2018,41,ILI CASES,0TO4,,,,,0.00
Portugal,2018,41,ILI CASES,5TO14,,,,,0.00
Portugal,2018,41,ILI CASES,15TO64,,,,,0.00
Portugal,2018,41,ILI CASES,65TO,,,,,0.00
Portugal,2018,41,ILI CASES,UNKNOWN,,,,,0.00
Portugal,2018,41,ILI CASES,ALL,,,,,0.00
Portugal,2018,41,ILI POPULATION COVERED,0TO4,,,,,1349.00
Portugal,2018,41,ILI POPULATION COVERED,5TO14,,,,,3129.00
Portugal,2018,41,ILI POPULATION COVERED,15TO64,,,,,19682.00
Portugal,2018,41,ILI POPULATION COVERED,65TO,,,,,6387.00
Portugal,2018,41,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Portugal,2018,41,ILI POPULATION COVERED,ALL,,,,,30547.00
Portugal,2018,41,ARI POPULATION COVERED,UNKNOWN,,,,,
Portugal,2018,41,TREND,,,,,,Unchanged
Portugal,2018,41,INTENSITY,,,,,,Low/Moderate
Portugal,2018,41,IMPACT,,,,,,Not Available
Portugal,2018,41,GEOSPREAD,,,,,,No Activity
Portugal,2018,42,ILI CASES,0TO4,,,,,0.00
Portugal,2018,42,ILI CASES,5TO14,,,,,0.00
Portugal,2018,42,ILI CASES,15TO64,,,,,2.00
Portugal,2018,42,ILI CASES,65TO,,,,,0.00
Portugal,2018,42,ILI CASES,UNKNOWN,,,,,0.00
Portugal,2018,42,ILI CASES,ALL,,,,,2.00
Portugal,2018,42,ILI POPULATION COVERED,0TO4,,,,,1344.00
Portugal,2018,42,ILI POPULATION COVERED,5TO14,,,,,3395.00
Portugal,2018,42,ILI POPULATION COVERED,15TO64,,,,,20524.00
