COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Iceland,2018,40,ILI CASES,0TO4,,,,,0.00
Iceland,2018,40,ILI CASES,5TO14,,,,,0.00
Iceland,2018,40,ILI CASES,15TO64,,,,,5.00
Iceland,2018,40,ILI CASES,65TO,,,,,1.00
Iceland,2018,40,ILI CASES,UNKNOWN,,,,,0.00
Iceland,2018,40,ILI CASES,ALL,,,,,6.00
Iceland,2018,40,ILI POPULATION COVERED,0TO4,,,,,21272.00
Iceland,2018,40,ILI POPULATION COVERED,5TO14,,,,,46135.00
Iceland,2018,40,ILI POPULATION COVERED,15TO64,,,,,232060.00
Iceland,2018,40,ILI POPULATION COVERED,65TO,,,,,48983.00
Iceland,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,
Iceland,2018,40,ILI POPULATION COVERED,ALL,,,,,348450.00
Iceland,2018,40,TREND,,,,,,Unchanged
Iceland,2018,40,INTENSITY,,,,,,Low/Moderate
Iceland,2018,40,IMPACT,,,,,,Low
Iceland,2018,40,GEOSPREAD,,,,,,No Activity
Iceland,2018,41,ILI CASES,0TO4,,,,,0.00
Iceland,2018,41,ILI CASES,5TO14,,,,,0.00
Iceland,2018,41,ILI CASES,15TO64,,,,,4.00
Iceland,2018,41,ILI CASES,65TO,,,,,1.00
Iceland,2018,41,ILI CASES,UNKNOWN,,,,,0.00
Iceland,2018,41,ILI CASES,ALL,,,,,5.00
Iceland,2018,41,ILI POPULATION COVERED,0TO4,,,,,21272.00
Iceland,2018,41,ILI POPULATION COVERED,5TO14,,,,,46135.00
Iceland,2018,41,ILI POPULATION COVERED,15TO64,,,,,232060.00
Iceland,2018,41,ILI POPULATION COVERED,65TO,,,,,48983.00
Iceland,2018,41,ILI POPULATION COVERED,UNKNOWN,,,,,
Iceland,2018,41,ILI POPULATION COVERED,ALL,,,,,348450.00
Iceland,2018,41,TREND,,,,,,Unchanged
Iceland,2018,41,INTENSITY,,,,,,Low/Moderate
Iceland,2018,41,IMPACT,,,,,,Low
Iceland,2018,41,GEOSPREAD,,,,,,Localized
Iceland,2018,42,ILI CASES,0TO4,,,,,0.00
Iceland,2018,42,ILI CASES,5TO14,,,,,0.00
Iceland,2018,42,ILI CASES,15TO64,,,,,3.00
Iceland,2018,42,ILI CASES,65TO,,,,,0.00
Iceland,2018,42,ILI CASES,UNKNOWN,,,,,0.00
Iceland,2018,42,ILI CASES,ALL,,,,,3.00
Iceland,2018,42,ILI POPULATION COVERED,0TO4,,,,,21272.00
Iceland,2018,42,ILI POPULATION COVERED,5TO14,,,,,46135.00
Iceland,2018,42,ILI POPULATION COVERED,15TO64,,,,,232060.00
Iceland,2018,42,ILI POPULATION COVERED,65TO,,,,,48983.00
Iceland,2018,42,ILI POPULATION COVERED,UNKNOWN,,,,,
Iceland,2018,42,ILI POPULATION COVERED,ALL,,,,,348450.00
Iceland,2018,42,TREND,,,,,,Unchanged
Iceland,2018,42,INTENSITY,,,,,,Low/Moderate
Iceland,2018,42,IMPACT,,,,,,Low
Iceland,2018,42,GEOSPREAD,,,,,,No Activity
Iceland,2018,43,ILI CASES,0TO4,,,,,0.00
Iceland,2018,43,ILI CASES,5TO14,,,,,0.00
Iceland,2018,43,ILI CASES,15TO64,,,,,9.00
Iceland,2018,43,ILI CASES,65TO,,,,,0.00
Iceland,2018,43,ILI CASES,UNKNOWN,,,,,
Iceland,2018,43,ILI CASES,ALL,,,,,9.00
Iceland,2018,43,ILI POPULATION COVERED,0TO4,,,,,21272.00
Iceland,2018,43,ILI POPULATION COVERED,5TO14,,,,,46135.00
Iceland,2018,43,ILI POPULATION COVERED,15TO64,,,,,232060.00
Iceland,2018,43,ILI POPULATION COVERED,65TO,,,,,48983.00
Iceland,2018,43,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Iceland,2018,43,ILI POPULATION COVERED,ALL,,,,,348450.00
Iceland,2018,43,TREND,,,,,,Unchanged
Iceland,2018,43,INTENSITY,,,,,,Low/Moderate
Iceland,2018,43,IMPACT,,,,,,Low
Iceland,2018,43,GEOSPREAD,,,,,,Localized
Iceland,2018,44,ILI CASES,0TO4,,,,,0.00
Iceland,2018,44,ILI CASES,5TO14,,,,,1.00
Iceland,2018,44,ILI CASES,15TO64,,,,,2.00
Iceland,2018,44,ILI CASES,65TO,,,,,4.00
Iceland,2018,44,ILI CASES,UNKNOWN,,,,,0.00
Iceland,2018,44,ILI CASES,ALL,,,,,7.00
Iceland,2018,44,ILI POPULATION COVERED,0TO4,,,,,21272.00
Iceland,2018,44,ILI POPULATION COVERED,5TO14,,,,,46135.00
Iceland,2018,44,ILI POPULATION COVERED,15TO64,,,,,232060.00
Iceland,2018,44,ILI POPULATION COVERED,65TO,,,,,48983.00
Iceland,2018,44,ILI POPULATION COVERED,UNKNOWN,,,,,
Iceland,2018,44,ILI POPULATION COVERED,ALL,,,,,348450.00
Iceland,2018,44,TREND,,,,,,Unchanged
Iceland,2018,44,INTENSITY,,,,,,Low/Moderate
Iceland,2018,44,IMPACT,,,,,,Low
Iceland,2018,44,GEOSPREAD,,,,,,Localized
Iceland,2018,45,ILI CASES,0TO4,,,,,0.00
Iceland,2018,45,ILI CASES,5TO14,,,,,3.00
Iceland,2018,45,ILI CASES,15TO64,,,,,18.00
Iceland,2018,45,ILI CASES,65TO,,,,,5.00
Iceland,2018,45,ILI CASES,UNKNOWN,,,,,
Iceland,2018,45,ILI CASES,ALL,,,,,26.00
Iceland,2018,45,ILI POPULATION COVERED,0TO4,,,,,21272.00
Iceland,2018,45,ILI POPULATION COVERED,5TO14,,,,,46135.00
Iceland,2018,45,ILI POPULATION COVERED,15TO64,,,,,232060.00
Iceland,2018,45,ILI POPULATION COVERED,65TO,,,,,48983.00
Iceland,2018,45,ILI POPULATION COVERED,UNKNOWN,,,,,
