COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Lithuania,2018,40,ILI CASES,UNKNOWN,,,,,13.00
Lithuania,2018,40,ILI CASES,ALL,,,,,13.00
Lithuania,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,40,ILI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,40,ARI CASES,UNKNOWN,,,,,18200.00
Lithuania,2018,40,ARI CASES,ALL,,,,,18200.00
Lithuania,2018,40,ARI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,40,ARI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,40,TREND,,,,,,Increasing
Lithuania,2018,40,INTENSITY,,,,,,Low/Moderate
Lithuania,2018,40,IMPACT,,,,,,Low
Lithuania,2018,40,GEOSPREAD,,,,,,Localized
Lithuania,2018,41,ILI CASES,UNKNOWN,,,,,30.00
Lithuania,2018,41,ILI CASES,ALL,,,,,30.00
Lithuania,2018,41,ILI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,41,ILI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,41,ARI CASES,UNKNOWN,,,,,18056.00
Lithuania,2018,41,ARI CASES,ALL,,,,,18056.00
Lithuania,2018,41,ARI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,41,ARI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,41,TREND,,,,,,Decreasing
Lithuania,2018,41,INTENSITY,,,,,,Low/Moderate
Lithuania,2018,41,IMPACT,,,,,,Low
Lithuania,2018,41,GEOSPREAD,,,,,,Localized
Lithuania,2018,42,ILI CASES,UNKNOWN,,,,,25.00
Lithuania,2018,42,ILI CASES,ALL,,,,,25.00
Lithuania,2018,42,ILI POPULATION COVERED,UNKNOWN,,,,,
Lithuania,2018,42,ILI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,42,ARI CASES,UNKNOWN,,,,,18371.00
Lithuania,2018,42,ARI CASES,ALL,,,,,18371.00
Lithuania,2018,42,ARI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,42,ARI POPULATION COVERED,ALL,,,,,
Lithuania,2018,42,TREND,,,,,,Unchanged
Lithuania,2018,42,INTENSITY,,,,,,Low/Moderate
Lithuania,2018,42,IMPACT,,,,,,Low
Lithuania,2018,42,GEOSPREAD,,,,,,Localized
Lithuania,2018,43,ILI CASES,UNKNOWN,,,,,31.00
Lithuania,2018,43,ILI CASES,ALL,,,,,31.00
Lithuania,2018,43,ILI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,43,ILI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,43,ARI CASES,UNKNOWN,,,,,1909.00
Lithuania,2018,43,ARI CASES,ALL,,,,,19099.00
Lithuania,2018,43,ARI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,43,ARI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,43,TREND,,,,,,Increasing
Lithuania,2018,43,INTENSITY,,,,,,Low/Moderate
Lithuania,2018,43,IMPACT,,,,,,Low
Lithuania,2018,43,GEOSPREAD,,,,,,Localized
Lithuania,2018,44,ILI CASES,UNKNOWN,,,,,28.00
Lithuania,2018,44,ILI CASES,ALL,,,,,28.00
Lithuania,2018,44,ILI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,44,ILI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,44,ARI CASES,UNKNOWN,,,,,13983.00
Lithuania,2018,44,ARI CASES,ALL,,,,,13983.00
Lithuania,2018,44,ARI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,44,ARI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,44,TREND,,,,,,Decreasing
Lithuania,2018,44,INTENSITY,,,,,,Low/Moderate
Lithuania,2018,44,IMPACT,,,,,,Low
Lithuania,2018,44,GEOSPREAD,,,,,,Localized
Lithuania,2018,45,ILI CASES,UNKNOWN,,,,,34.00
Lithuania,2018,45,ILI CASES,ALL,,,,,34.00
Lithuania,2018,45,ILI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,45,ILI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,45,ARI CASES,UNKNOWN,,,,,16306.00
Lithuania,2018,45,ARI CASES,ALL,,,,,16306.00
Lithuania,2018,45,ARI POPULATION COVERED,UNKNOWN,,,,,2810118.00
Lithuania,2018,45,ARI POPULATION COVERED,ALL,,,,,2810118.00
Lithuania,2018,45,TREND,,,,,,Increasing
Lithuania,2018,45,INTENSITY,,,,,,Low/Moderate
Lithuania,2018,45,IMPACT,,,,,,Low
Lithuania,2018,45,GEOSPREAD,,,,,,Localized
