COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Croatia,2018,40,ILI CASES,0TO4,,,,,0.00
Croatia,2018,40,ILI CASES,5TO14,,,,,0.00
Croatia,2018,40,ILI CASES,15TO64,,,,,0.00
Croatia,2018,40,ILI CASES,65TO,,,,,0.00
Croatia,2018,40,ILI CASES,UNKNOWN,,,,,0.00
Croatia,2018,40,ILI CASES,ALL,,,,,0.00
Croatia,2018,40,ILI POPULATION COVERED,0TO4,,,,,190580.00
Croatia,2018,40,ILI POPULATION COVERED,5TO14,,,,,407232.00
Croatia,2018,40,ILI POPULATION COVERED,15TO64,,,,,2708419.00
Croatia,2018,40,ILI POPULATION COVERED,65TO,,,,,818300.00
Croatia,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Croatia,2018,40,ILI POPULATION COVERED,ALL,,,,,4124531.00
Croatia,2018,40,TREND,,,,,,Unchanged
Croatia,2018,40,INTENSITY,,,,,,Low/Moderate
Croatia,2018,40,GEOSPREAD,,,,,,No Activity
Croatia,2018,41,ILI CASES,0TO4,,,,,0.00
Croatia,2018,41,ILI CASES,5TO14,,,,,0.00
Croatia,2018,41,ILI CASES,15TO64,,,,,0.00
Croatia,2018,41,ILI CASES,65TO,,,,,0.00
Croatia,2018,41,ILI CASES,UNKNOWN,,,,,0.00
Croatia,2018,41,ILI CASES,ALL,,,,,0.00
Croatia,2018,41,ILI POPULATION COVERED,0TO4,,,,,190580.00
Croatia,2018,41,ILI POPULATION COVERED,5TO14,,,,,407232.00
Croatia,2018,41,ILI POPULATION COVERED,15TO64,,,,,2708419.00
Croatia,2018,41,ILI POPULATION COVERED,65TO,,,,,818300.00
Croatia,2018,41,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Croatia,2018,41,ILI POPULATION COVERED,ALL,,,,,4124531.00
Croatia,2018,41,TREND,,,,,,Unchanged
Croatia,2018,41,INTENSITY,,,,,,Low/Moderate
Croatia,2018,41,GEOSPREAD,,,,,,No Activity
Croatia,2018,42,ILI CASES,0TO4,,,,,0.00
Croatia,2018,42,ILI CASES,5TO14,,,,,0.00
Croatia,2018,42,ILI CASES,15TO64,,,,,2.00
Croatia,2018,42,ILI CASES,65TO,,,,,1.00
Croatia,2018,42,ILI CASES,UNKNOWN,,,,,0.00
Croatia,2018,42,ILI CASES,ALL,,,,,3.00
Croatia,2018,42,ILI POPULATION COVERED,0TO4,,,,,190580.00
Croatia,2018,42,ILI POPULATION COVERED,5TO14,,,,,407232.00
Croatia,2018,42,ILI POPULATION COVERED,15TO64,,,,,2708419.00
Croatia,2018,42,ILI POPULATION COVERED,65TO,,,,,818300.00
Croatia,2018,42,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Croatia,2018,42,ILI POPULATION COVERED,ALL,,,,,4124531.00
Croatia,2018,42,TREND,,,,,,Unchanged
Croatia,2018,42,INTENSITY,,,,,,Low/Moderate
Croatia,2018,42,GEOSPREAD,,,,,,No Activity
Croatia,2018,43,ILI CASES,0TO4,,,,,0.00
Croatia,2018,43,ILI CASES,5TO14,,,,,0.00
