COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Spain,2018,40,ILI CASES,0TO4,,,,,9.00
Spain,2018,40,ILI CASES,5TO14,,,,,7.00
Spain,2018,40,ILI CASES,15TO64,,,,,25.00
Spain,2018,40,ILI CASES,65TO,,,,,5.00
Spain,2018,40,ILI CASES,UNKNOWN,,,,,0.00
Spain,2018,40,ILI CASES,ALL,,,,,46.00
Spain,2018,40,ILI POPULATION COVERED,0TO4,,,,,50317.00
Spain,2018,40,ILI POPULATION COVERED,5TO14,,,,,117539.00
Spain,2018,40,ILI POPULATION COVERED,15TO64,,,,,455522.00
Spain,2018,40,ILI POPULATION COVERED,65TO,,,,,132810.00
Spain,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Spain,2018,40,ILI POPULATION COVERED,ALL,,,,,756188.00
Spain,2018,40,TREND,,,,,,Unchanged
Spain,2018,40,INTENSITY,,,,,,baseline
Spain,2018,40,IMPACT,,,,,,Not Available
Spain,2018,40,GEOSPREAD,,,,,,No Activity
Spain,2018,41,ILI CASES,0TO4,,,,,7.00
Spain,2018,41,ILI CASES,5TO14,,,,,7.00
Spain,2018,41,ILI CASES,15TO64,,,,,20.00
Spain,2018,41,ILI CASES,65TO,,,,,3.00
Spain,2018,41,ILI CASES,UNKNOWN,,,,,0.00
Spain,2018,41,ILI CASES,ALL,,,,,37.00
Spain,2018,41,ILI POPULATION COVERED,0TO4,,,,,47007.00
Spain,2018,41,ILI POPULATION COVERED,5TO14,,,,,109830.00
Spain,2018,41,ILI POPULATION COVERED,15TO64,,,,,422635.00
Spain,2018,41,ILI POPULATION COVERED,65TO,,,,,122706.00
Spain,2018,41,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Spain,2018,41,ILI POPULATION COVERED,ALL,,,,,702178.00
Spain,2018,41,TREND,,,,,,Unchanged
Spain,2018,41,INTENSITY,,,,,,baseline
Spain,2018,41,IMPACT,,,,,,Not Available
Spain,2018,41,GEOSPREAD,,,,,,No Activity
Spain,2018,42,ILI CASES,0TO4,,,,,10.00
Spain,2018,42,ILI CASES,5TO14,,,,,6.00
Spain,2018,42,ILI CASES,15TO64,,,,,39.00
Spain,2018,42,ILI CASES,65TO,,,,,6.00
Spain,2018,42,ILI CASES,UNKNOWN,,,,,0.00
Spain,2018,42,ILI CASES,ALL,,,,,61.00
Spain,2018,42,ILI POPULATION COVERED,0TO4,,,,,51851.00
Spain,2018,42,ILI POPULATION COVERED,5TO14,,,,,118864.00
Spain,2018,42,ILI POPULATION COVERED,15TO64,,,,,448340.00
Spain,2018,42,ILI POPULATION COVERED,65TO,,,,,129104.00
Spain,2018,42,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Spain,2018,42,ILI POPULATION COVERED,ALL,,,,,748159.00
Spain,2018,42,TREND,,,,,,Unchanged
Spain,2018,42,INTENSITY,,,,,,baseline
Spain,2018,42,IMPACT,,,,,,Not Available
Spain,2018,42,GEOSPREAD,,,,,,No Activity
Spain,2018,43,ILI CASES,0TO4,,,,,10.00
Spain,2018,43,ILI CASES,5TO14,,,,,10.00
Spain,2018,43,ILI CASES,15TO64,,,,,58.00
Spain,2018,43,ILI CASES,65TO,,,,,7.00
Spain,2018,43,ILI CASES,UNKNOWN,,,,,2.00
Spain,2018,43,ILI CASES,ALL,,,,,87.00
Spain,2018,43,ILI POPULATION COVERED,0TO4,,,,,50130.00
Spain,2018,43,ILI POPULATION COVERED,5TO14,,,,,117298.00
Spain,2018,43,ILI POPULATION COVERED,15TO64,,,,,479729.00
Spain,2018,43,ILI POPULATION COVERED,65TO,,,,,138523.00
Spain,2018,43,ILI POPULATION COVERED,UNKNOWN,,,,,0.00
Spain,2018,43,ILI POPULATION COVERED,ALL,,,,,785680.00
Spain,2018,43,TREND,,,,,,Unchanged
Spain,2018,43,INTENSITY,,,,,,baseline
Spain,2018,43,IMPACT,,,,,,Not Available
Spain,2018,43,GEOSPREAD,,,,,,No Activity
Spain,2018,44,ILI CASES,0TO4,,,,,8.00
Spain,2018,44,ILI CASES,5TO14,,,,,15.00
Spain,2018,44,ILI CASES,15TO64,,,,,39.00
Spain,2018,44,ILI CASES,65TO,,,,,13.00
