COUNTRY,YEAR_CODE,WEEK_CODE,MEASURE_CODE,AGEGROUP_CODE,VIRUSTYPE_CODE,VIRUS_SUB_CODE,INF_CONF_CODE,SAMPLED_CODE,DataValue
Greece,2018,40,ILI CASES,UNKNOWN,,,,,439.00
Greece,2018,40,ILI CASES,ALL,,,,,439.00
Greece,2018,40,ILI POPULATION COVERED,UNKNOWN,,,,,183106.00
Greece,2018,40,ILI POPULATION COVERED,ALL,,,,,183106.00
Greece,2018,40,TREND,,,,,,Unchanged
Greece,2018,40,INTENSITY,,,,,,Low/Moderate
Greece,2018,40,IMPACT,,,,,,Not Available
Greece,2018,40,GEOSPREAD,,,,,,No Activity
Greece,2018,41,ILI CASES,UNKNOWN,,,,,672.00
Greece,2018,41,ILI CASES,ALL,,,,,672.00
Greece,2018,41,ILI POPULATION COVERED,UNKNOWN,,,,,209620.00
Greece,2018,41,ILI POPULATION COVERED,ALL,,,,,209620.00
Greece,2018,41,TREND,,,,,,Unchanged
Greece,2018,41,INTENSITY,,,,,,Low/Moderate
Greece,2018,41,IMPACT,,,,,,Not Available
Greece,2018,41,GEOSPREAD,,,,,,No Activity
Greece,2018,42,ILI CASES,UNKNOWN,,,,,506.00
Greece,2018,42,ILI CASES,ALL,,,,,506.00
Greece,2018,42,ILI POPULATION COVERED,UNKNOWN,,,,,205581.00
Greece,2018,42,ILI POPULATION COVERED,ALL,,,,,205581.00
Greece,2018,42,TREND,,,,,,Unchanged
Greece,2018,42,INTENSITY,,,,,,Low/Moderate
Greece,2018,42,IMPACT,,,,,,Not Available
Greece,2018,42,GEOSPREAD,,,,,,No Activity
Greece,2018,43,ILI CASES,UNKNOWN,,,,,608.00
Greece,2018,43,ILI CASES,ALL,,,,,608.00
Greece,2018,43,ILI POPULATION COVERED,UNKNOWN,,,,,213319.00
Greece,2018,43,ILI POPULATION COVERED,ALL,,,,,213319.00
Greece,2018,43,TREND,,,,,,Unchanged
Greece,2018,43,INTENSITY,,,,,,Low/Moderate
Greece,2018,43,IMPACT,,,,,,Not Available
Greece,2018,43,GEOSPREAD,,,,,,No Activity
Greece,2018,44,ILI CASES,UNKNOWN,,,,,563.00
Greece,2018,44,ILI CASES,ALL,,,,,563.00
Greece,2018,44,ILI POPULATION COVERED,UNKNOWN,,,,,188674.00
Greece,2018,44,ILI POPULATION COVERED,ALL,,,,,188674.00
Greece,2018,44,TREND,,,,,,Unchanged
Greece,2018,44,INTENSITY,,,,,,Low/Moderate
Greece,2018,44,IMPACT,,,,,,Not Available
Greece,2018,44,GEOSPREAD,,,,,,No Activity
Greece,2018,45,ILI CASES,UNKNOWN,,,,,546.00
Greece,2018,45,ILI CASES,ALL,,,,,546.00
Greece,2018,45,ILI POPULATION COVERED,UNKNOWN,,,,,203712.00
Greece,2018,45,ILI POPULATION COVERED,ALL,,,,,203712.00
Greece,2018,45,TREND,,,,,,Unchanged
Greece,2018,45,INTENSITY,,,,,,Low/Moderate
Greece,2018,45,IMPACT,,,,,,Not Available
Greece,2018,45,GEOSPREAD,,,,,,No Activity
Greece,2018,46,ILI CASES,UNKNOWN,,,,,696.00
Greece,2018,46,ILI CASES,ALL,,,,,696.00
Greece,2018,46,ILI POPULATION COVERED,UNKNOWN,,,,,191389.00
Greece,2018,46,ILI POPULATION COVERED,ALL,,,,,191389.00
Greece,2018,46,TREND,,,,,,Unchanged
Greece,2018,46,INTENSITY,,,,,,Low/Moderate
Greece,2018,46,IMPACT,,,,,,Not Available
Greece,2018,46,GEOSPREAD,,,,,,No Activity
Greece,2018,47,ILI CASES,UNKNOWN,,,,,716.00
Greece,2018,47,ILI CASES,ALL,,,,,716.00
Greece,2018,47,ILI POPULATION COVERED,UNKNOWN,,,,,210195.00
Greece,2018,47,ILI POPULATION COVERED,ALL,,,,,210195.00
Greece,2018,47,TREND,,,,,,Unchanged
Greece,2018,47,INTENSITY,,,,,,Low/Moderate
Greece,2018,47,IMPACT,,,,,,Not Available
Greece,2018,47,GEOSPREAD,,,,,,No Activity
Greece,2018,48,ILI CASES,UNKNOWN,,,,,655.00
Greece,2018,48,ILI CASES,ALL,,,,,655.00
Greece,2018,48,ILI POPULATION COVERED,UNKNOWN,,,,,200851.00
Greece,2018,48,ILI POPULATION COVERED,ALL,,,,,200851.00
Greece,2018,48,TREND,,,,,,Unchanged
Greece,2018,48,INTENSITY,,,,,,Low/Moderate
Greece,2018,48,IMPACT,,,,,,Not Available
Greece,2018,48,GEOSPREAD,,,,,,No Activity
Greece,2018,49,ILI CASES,UNKNOWN,,,,,664.00
Greece,2018,49,ILI CASES,ALL,,,,,664.00
Greece,2018,49,ILI POPULATION COVERED,UNKNOWN,,,,,184868.00
Greece,2018,49,ILI POPULATION COVERED,ALL,,,,,184868.00
Greece,2018,49,TREND,,,,,,Unchanged
Greece,2018,49,INTENSITY,,,,,,Low/Moderate
Greece,2018,49,IMPACT,,,,,,Not Available
Greece,2018,49,GEOSPREAD,,,,,,No Activity
Greece,2018,50,ILI CASES,UNKNOWN,,,,,872.00
Greece,2018,50,ILI CASES,ALL,,,,,872.00
Greece,2018,50,ILI POPULATION COVERED,UNKNOWN,,,,,194514.00
Greece,2018,50,ILI POPULATION COVERED,ALL,,,,,194514.00
Greece,2018,50,TREND,,,,,,Increasing
Greece,2018,50,INTENSITY,,,,,,baseline
Greece,2018,50,IMPACT,,,,,,Not Available
Greece,2018,50,GEOSPREAD,,,,,,Localized
Greece,2018,51,ILI CASES,UNKNOWN,,,,,487.00
Greece,2018,51,ILI CASES,ALL,,,,,487.00
Greece,2018,51,ILI POPULATION COVERED,UNKNOWN,,,,,117599.00
Greece,2018,51,ILI POPULATION COVERED,ALL,,,,,117599.00
Greece,2018,51,TREND,,,,,,Increasing
Greece,2018,51,INTENSITY,,,,,,baseline
Greece,2018,51,IMPACT,,,,,,Not Available
Greece,2018,51,GEOSPREAD,,,,,,Localized
Greece,2018,52,ILI CASES,UNKNOWN,,,,,211.00
Greece,2018,52,ILI CASES,ALL,,,,,211.00
Greece,2018,52,ILI POPULATION COVERED,UNKNOWN,,,,,88301.00
